;City;Gender;variable;value;Numb
258;Bayburt-69;F;-20.24;5528;5528
259;Bilecik-11;F;-20.24;8789;8789
260;Bingöl-12;F;-20.24;13453;13453
261;Bitlis-13;F;-20.24;16466;16466
262;Bolu-14;F;-20.24;15031;15031
263;Burdur-15;F;-20.24;11559;11559
264;Bursa-16;F;-20.24;105105;105105
265;Çanakkale-17;F;-20.24;20163;20163
266;Çankırı-18;F;-20.24;7895;7895
267;Çorum-19;F;-20.24;17957;17957
268;Denizli-20;F;-20.24;37675;37675
269;Diyarbakır-21;F;-20.24;76255;76255
270;Düzce-81;F;-20.24;16611;16611
271;Edirne-22;F;-20.24;16324;16324
272;Elazığ-23;F;-20.24;24944;24944
273;Erzincan-24;F;-20.24;11343;11343
274;Erzurum-25;F;-20.24;39092;39092
275;Eskişehir-26;F;-20.24;35402;35402
276;Gaziantep-27;F;-20.24;85536;85536
277;Giresun-28;F;-20.24;17516;17516
278;Gümüşhane-29;F;-20.24;9833;9833
279;Hakkari-30;F;-20.24;13456;13456
280;Hatay-31;F;-20.24;58433;58433
281;Iğdır-76;F;-20.24;8769;8769
282;Isparta-32;F;-20.24;21715;21715
283;İstanbul-34;F;-20.24;597584;597584
284;İzmir-35;F;-20.24;147102;147102
285;Kahramanmaraş-46;F;-20.24;43487;43487
286;Karabük-78;F;-20.24;13372;13372
287;Karaman-70;F;-20.24;11239;11239
288;Kars-36;F;-20.24;13550;13550
289;Kastamonu-37;F;-20.24;14242;14242
290;Kayseri-38;F;-20.24;53991;53991
291;Kilis-79;F;-20.24;6592;6592
292;Kırıkkale-71;F;-20.24;12821;12821
293;Kırklareli-39;F;-20.24;12902;12902
294;Kırşehir-40;F;-20.24;11048;11048
295;Kocaeli-41;F;-20.24;70948;70948
296;Konya-42;F;-20.24;95731;95731
297;Kütahya-43;F;-20.24;23633;23633
298;Malatya-44;F;-20.24;31857;31857
299;Manisa-45;F;-20.24;48351;48351
300;Mardin-47;F;-20.24;37575;37575
301;Mersin-33;F;-20.24;65162;65162
302;Muğla-48;F;-20.24;31078;31078
303;Muş-49;F;-20.24;18724;18724
304;Nevşehir-50;F;-20.24;13153;13153
305;Niğde-51;F;-20.24;16225;16225
306;Ordu-52;F;-20.24;26057;26057
307;Osmaniye-80;F;-20.24;18501;18501
308;Rize-53;F;-20.24;13148;13148
309;Sakarya-54;F;-20.24;40527;40527
310;Samsun-55;F;-20.24;50491;50491
311;Şanlıurfa-63;F;-20.24;89985;89985
312;Siirt-56;F;-20.24;16945;16945
313;Sinop-57;F;-20.24;7548;7548
314;Şırnak-73;F;-20.24;24931;24931
315;Sivas-58;F;-20.24;29460;29460
316;Tekirdağ-59;F;-20.24;35063;35063
317;Tokat-60;F;-20.24;23948;23948
318;Trabzon-61;F;-20.24;32473;32473
319;Tunceli-62;F;-20.24;2988;2988
320;Uşak-64;F;-20.24;15677;15677
321;Van-65;F;-20.24;54328;54328
322;Yalova-77;F;-20.24;9582;9582
323;Yozgat-66;F;-20.24;17333;17333
324;Zonguldak-67;F;-20.24;20715;20715
325;Adana-1;M;-25.29;79820;-79820
326;Adıyaman-2;M;-25.29;24037;-24037
327;Afyonkarahisar-3;M;-25.29;24730;-24730
328;Ağrı-4;M;-25.29;25536;-25536
329;Aksaray-68;M;-25.29;14971;-14971
330;Amasya-5;M;-25.29;13609;-13609
331;Ankara-6;M;-25.29;221045;-221045
332;Antalya-7;M;-25.29;91679;-91679
333;Ardahan-75;M;-25.29;4102;-4102
334;Artvin-8;M;-25.29;6096;-6096
335;Aydın-9;M;-25.29;37987;-37987
336;Balıkesir-10;M;-25.29;40067;-40067
337;Bartın-74;M;-25.29;6632;-6632
338;Batman-72;M;-25.29;28465;-28465
339;Bayburt-69;M;-25.29;3935;-3935
340;Bilecik-11;M;-25.29;8808;-8808
341;Bingöl-12;M;-25.29;13905;-13905
342;Bitlis-13;M;-25.29;17447;-17447
343;Bolu-14;M;-25.29;11354;-11354
344;Burdur-15;M;-25.29;10388;-10388
345;Bursa-16;M;-25.29;114151;-114151
346;Çanakkale-17;M;-25.29;18574;-18574
347;Çankırı-18;M;-25.29;7005;-7005
348;Çorum-19;M;-25.29;16711;-16711
349;Denizli-20;M;-25.29;36041;-36041
350;Diyarbakır-21;M;-25.29;80592;-80592
351;Düzce-81;M;-25.29;15213;-15213
352;Edirne-22;M;-25.29;15278;-15278
353;Elazığ-23;M;-25.29;21833;-21833
354;Erzincan-24;M;-25.29;11031;-11031
355;Erzurum-25;M;-25.29;29548;-29548
356;Eskişehir-26;M;-25.29;34545;-34545
357;Gaziantep-27;M;-25.29;79423;-79423
358;Giresun-28;M;-25.29;15320;-15320
359;Gümüşhane-29;M;-25.29;7271;-7271
360;Hakkari-30;M;-25.29;21203;-21203
361;Hatay-31;M;-25.29;54098;-54098
362;Iğdır-76;M;-25.29;8819;-8819
363;Isparta-32;M;-25.29;15516;-15516
364;İstanbul-34;M;-25.29;665305;-665305
365;İzmir-35;M;-25.29;165203;-165203
366;Kahramanmaraş-46;M;-25.29;39985;-39985
367;Karabük-78;M;-25.29;9049;-9049
368;Karaman-70;M;-25.29;9012;-9012
369;Kars-36;M;-25.29;12632;-12632
370;Kastamonu-37;M;-25.29;12747;-12747
371;Kayseri-38;M;-25.29;48780;-48780
372;Kilis-79;M;-25.29;5973;-5973
373;Kırıkkale-71;M;-25.29;9885;-9885
374;Kırklareli-39;M;-25.29;14207;-14207
375;Kırşehir-40;M;-25.29;8810;-8810
376;Kocaeli-41;M;-25.29;78483;-78483
377;Konya-42;M;-25.29;80103;-80103
378;Kütahya-43;M;-25.29;20896;-20896
379;Malatya-44;M;-25.29;27294;-27294
380;Manisa-45;M;-25.29;52336;-52336
381;Mardin-47;M;-25.29;37954;-37954
382;Mersin-33;M;-25.29;64441;-64441
383;Muğla-48;M;-25.29;34264;-34264
384;Muş-49;M;-25.29;18639;-18639
385;Nevşehir-50;M;-25.29;10201;-10201
386;Niğde-51;M;-25.29;12741;-12741
387;Ordu-52;M;-25.29;24695;-24695
388;Osmaniye-80;M;-25.29;17828;-17828
389;Rize-53;M;-25.29;12345;-12345
390;Sakarya-54;M;-25.29;38171;-38171
391;Samsun-55;M;-25.29;47812;-47812
392;Şanlıurfa-63;M;-25.29;85907;-85907
393;Siirt-56;M;-25.29;16097;-16097
394;Sinop-57;M;-25.29;7140;-7140
395;Şırnak-73;M;-25.29;33108;-33108
