City;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90+;Gender
Kırşehir-40;9358.0;10108.0;8810.0;8565.0;8809.0;8096.0;7794.0;7980.0;7496.0;6589.0;4819.0;3362.0;1996.0;1147.0;770.0;206.0;M
Kocaeli-41;72985.0;74568.0;78483.0;84069.0;89064.0;79757.0;68337.0;55223.0;47928.0;38047.0;26611.0;17967.0;10501.0;5694.0;3097.0;856.0;M
Konya-42;94705.0;93553.0;80103.0;81649.0;83902.0;74609.0;68998.0;61003.0;57425.0;46029.0;35330.0;26013.0;15272.0;9379.0;5459.0;1348.0;M
Kütahya-43;20639.0;23028.0;20896.0;20248.0;21620.0;20947.0;19355.0;17657.0;18807.0;16045.0;12789.0;8959.0;6033.0;3530.0;2043.0;489.0;M
Malatya-44;32947.0;32445.0;27294.0;28331.0;29958.0;28410.0;26471.0;22632.0;21421.0;17555.0;13358.0;9767.0;6347.0;3736.0;2438.0;522.0;M
Manisa-45;49978.0;56020.0;52336.0;53453.0;57778.0;53708.0;49294.0;46337.0;45444.0;37934.0;28533.0;19567.0;11887.0;7367.0;3867.0;1106.0;M
Mardin-47;44358.0;37836.0;37954.0;31997.0;27306.0;21518.0;20044.0;14391.0;12126.0;8609.0;6260.0;5037.0;3636.0;2429.0;1632.0;540.0;M
Mersin-33;71252.0;66972.0;64441.0;65727.0;70421.0;67047.0;64309.0;56915.0;52401.0;41746.0;30753.0;21501.0;12790.0;7287.0;4207.0;1076.0;M
Muğla-48;30289.0;34457.0;34264.0;36254.0;41246.0;40927.0;38486.0;35112.0;33472.0;27345.0;21057.0;15115.0;9892.0;6243.0;3517.0;1092.0;M
Muş-49;23905.0;19032.0;18639.0;14826.0;12745.0;10407.0;9246.0;7216.0;6659.0;4925.0;3536.0;2423.0;1497.0;728.0;435.0;162.0;M
Nevşehir-50;11651.0;12713.0;10201.0;10732.0;11523.0;10504.0;9839.0;8993.0;8574.0;7203.0;5763.0;4288.0;2618.0;1595.0;939.0;232.0;M
Niğde-51;15843.0;16598.0;12741.0;12958.0;13463.0;12162.0;11965.0;10352.0;9511.0;7375.0;5714.0;4459.0;2800.0;1498.0;1025.0;228.0;M
Ordu-52;26504.0;26193.0;24695.0;24490.0;27040.0;25863.0;26582.0;25412.0;25842.0;22187.0;17619.0;12832.0;8748.0;4998.0;3581.0;862.0;M
Osmaniye-80;23549.0;20562.0;17828.0;18683.0;20397.0;18739.0;17563.0;15240.0;13948.0;11550.0;8573.0;5672.0;3247.0;1647.0;1119.0;281.0;M
Rize-53;12349.0;13761.0;12345.0;12060.0;12363.0;12240.0;12794.0;12554.0;11465.0;9719.0;6816.0;4662.0;3209.0;1767.0;1154.0;190.0;M
Sakarya-54;40623.0;41552.0;38171.0;38033.0;40509.0;38745.0;35063.0;31033.0;28800.0;24676.0;18050.0;12630.0;7230.0;4016.0;2380.0;653.0;M
Samsun-55;51226.0;51614.0;47812.0;47192.0;49181.0;47602.0;45307.0;42540.0;42076.0;35454.0;27346.0;19050.0;12110.0;6237.0;4203.0;794.0;M
Şanlıurfa-63;109846.0;89585.0;85907.0;74090.0;62168.0;49109.0;41530.0;32814.0;28209.0;18898.0;14169.0;9534.0;5705.0;3086.0;1663.0;517.0;M
Siirt-56;19193.0;18956.0;16097.0;12164.0;10085.0;7736.0;6921.0;5434.0;4456.0;3545.0;2567.0;1856.0;1170.0;662.0;443.0;110.0;M
Sinop-57;7181.0;7756.0;7140.0;7139.0;7336.0;6711.0;6495.0;6571.0;7745.0;7409.0;6593.0;5131.0;3477.0;1927.0;1366.0;343.0;M
Şırnak-73;30287.0;36031.0;33108.0;20081.0;15450.0;10865.0;9239.0;6678.0;5452.0;3817.0;2782.0;1812.0;1298.0;778.0;367.0;115.0;M
Sivas-58;25573.0;29866.0;23447.0;22175.0;22435.0;20558.0;19100.0;17920.0;17768.0;16227.0;13254.0;10159.0;6961.0;3361.0;2706.0;473.0;M
Tekirdağ-59;36306.0;44053.0;43513.0;45655.0;48821.0;43853.0;38382.0;32476.0;28979.0;23291.0;17428.0;11057.0;6332.0;3906.0;2019.0;634.0;M
Tokat-60;24256.0;25000.0;20377.0;19933.0;20854.0;20152.0;19894.0;18956.0;18916.0;17299.0;13647.0;10394.0;6772.0;3933.0;2209.0;392.0;M
Trabzon-61;29653.0;31926.0;28708.0;28667.0;29737.0;28056.0;27344.0;25738.0;25435.0;22660.0;16139.0;10924.0;7141.0;4005.0;3107.0;664.0;M
Tunceli-62;2008.0;5358.0;5745.0;3915.0;3604.0;3210.0;3165.0;2381.0;2474.0;2305.0;1771.0;1317.0;858.0;776.0;551.0;152.0;M
Uşak-64;13443.0;15650.0;12232.0;13305.0;14662.0;13650.0;12875.0;11562.0;11380.0;9677.0;7397.0;5358.0;3514.0;2130.0;1328.0;323.0;M
